timestamp,message,logStreamName
1617825293578,"START RequestId: d980c048-00cf-43dc-ab6a-f2118665352f Version: $LATEST
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825293652,"START RequestId: f65dd1a2-4163-48df-aa7d-23eaef112830 Version: $LATEST
",2021/04/07/[$LATEST]6f1efa652c4a489ab32f71eba97bf944
1617825293919,"END RequestId: d980c048-00cf-43dc-ab6a-f2118665352f
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825293919,"REPORT RequestId: d980c048-00cf-43dc-ab6a-f2118665352f	Duration: 341.12 ms	Billed Duration: 342 ms	Memory Size: 128 MB	Max Memory Used: 82 MB	Init Duration: 388.91 ms	
",2021/04/07/[$LATEST]dba7d29268ee4fb09e9c869701ef4a84
1617825294045,"END RequestId: f65dd1a2-4163-48df-aa7d-23eaef112830
",2021/04/07/[$LATEST]6f1efa652c4a489ab32f71eba97bf944
1617825294045,"REPORT RequestId: f65dd1a2-4163-48df-aa7d-23eaef112830	Duration: 392.80 ms	Billed Duration: 393 ms	Memory Size: 128 MB	Max Memory Used: 81 MB	Init Duration: 465.66 ms	
",2021/04/07/[$LATEST]6f1efa652c4a489ab32f71eba97bf944
1617825294188,"START RequestId: b3985aaa-5f4b-45e3-bf97-c35dea195960 Version: $LATEST
",2021/04/07/[$LATEST]6f1efa652c4a489ab32f71eba97bf944
1617825294366,"END RequestId: b3985aaa-5f4b-45e3-bf97-c35dea195960
",2021/04/07/[$LATEST]6f1efa652c4a489ab32f71eba97bf944
1617825294366,"REPORT RequestId: b3985aaa-5f4b-45e3-bf97-c35dea195960	Duration: 174.04 ms	Billed Duration: 175 ms	Memory Size: 128 MB	Max Memory Used: 82 MB	
",2021/04/07/[$LATEST]6f1efa652c4a489ab32f71eba97bf944
1617825294752,"START RequestId: 29feec19-923c-48ab-9644-741014ded622 Version: $LATEST
",2021/04/07/[$LATEST]6f1efa652c4a489ab32f71eba97bf944
1617825294925,"END RequestId: 29feec19-923c-48ab-9644-741014ded622
",2021/04/07/[$LATEST]6f1efa652c4a489ab32f71eba97bf944
1617825294925,"REPORT RequestId: 29feec19-923c-48ab-9644-741014ded622	Duration: 170.37 ms	Billed Duration: 171 ms	Memory Size: 128 MB	Max Memory Used: 82 MB	
",2021/04/07/[$LATEST]6f1efa652c4a489ab32f71eba97bf944
