timestamp,message
1617827433629,"START RequestId: f0da86d3-e67b-4eec-8e9a-659875ea9e81 Version: $LATEST
"
1617827433980,"END RequestId: f0da86d3-e67b-4eec-8e9a-659875ea9e81
"
1617827433980,"REPORT RequestId: f0da86d3-e67b-4eec-8e9a-659875ea9e81	Duration: 350.42 ms	Billed Duration: 351 ms	Memory Size: 128 MB	Max Memory Used: 81 MB	Init Duration: 444.30 ms	
"
1617827436529,"START RequestId: 25680fac-acef-4af4-a0c6-c6c757091360 Version: $LATEST
"
1617827436660,"END RequestId: 25680fac-acef-4af4-a0c6-c6c757091360
"
1617827436660,"REPORT RequestId: 25680fac-acef-4af4-a0c6-c6c757091360	Duration: 128.78 ms	Billed Duration: 129 ms	Memory Size: 128 MB	Max Memory Used: 82 MB	
"
1617827441164,"START RequestId: 348c463e-3f1e-48a4-b177-becec860b2c1 Version: $LATEST
"
1617827441300,"END RequestId: 348c463e-3f1e-48a4-b177-becec860b2c1
"
1617827441300,"REPORT RequestId: 348c463e-3f1e-48a4-b177-becec860b2c1	Duration: 134.47 ms	Billed Duration: 135 ms	Memory Size: 128 MB	Max Memory Used: 82 MB	
"
1617827446138,"START RequestId: be506748-2537-4bc0-bc29-fb5784170039 Version: $LATEST
"
1617827446280,"END RequestId: be506748-2537-4bc0-bc29-fb5784170039
"
1617827446280,"REPORT RequestId: be506748-2537-4bc0-bc29-fb5784170039	Duration: 138.79 ms	Billed Duration: 139 ms	Memory Size: 128 MB	Max Memory Used: 82 MB	
"
1617827451506,"START RequestId: b1549ea4-fbca-4cf8-a357-73f9dd69ebd9 Version: $LATEST
"
1617827451639,"END RequestId: b1549ea4-fbca-4cf8-a357-73f9dd69ebd9
"
1617827451639,"REPORT RequestId: b1549ea4-fbca-4cf8-a357-73f9dd69ebd9	Duration: 129.84 ms	Billed Duration: 130 ms	Memory Size: 128 MB	Max Memory Used: 82 MB	
"
1617827456677,"START RequestId: 012f4428-045b-4547-9cf1-83b9c3a93a58 Version: $LATEST
"
