timestamp,message
1618349504772,"START RequestId: 0c216421-d716-49f3-82a8-52740b91996f Version: $LATEST
"
1618349508649,"END RequestId: 0c216421-d716-49f3-82a8-52740b91996f
"
1618349508649,"REPORT RequestId: 0c216421-d716-49f3-82a8-52740b91996f	Duration: 3846.28 ms	Billed Duration: 3847 ms	Memory Size: 128 MB	Max Memory Used: 126 MB	
"
1618349525194,"START RequestId: 136e20d9-4735-4667-895d-ce6e1c06514f Version: $LATEST
"
1618349529068,"END RequestId: 136e20d9-4735-4667-895d-ce6e1c06514f
"
1618349529068,"REPORT RequestId: 136e20d9-4735-4667-895d-ce6e1c06514f	Duration: 3821.49 ms	Billed Duration: 3822 ms	Memory Size: 128 MB	Max Memory Used: 126 MB	
"
1618349539065,"START RequestId: 4f3cf173-f1a3-4ec6-a983-cfb313373a67 Version: $LATEST
"
1618349542828,"END RequestId: 4f3cf173-f1a3-4ec6-a983-cfb313373a67
"
1618349542828,"REPORT RequestId: 4f3cf173-f1a3-4ec6-a983-cfb313373a67	Duration: 3744.17 ms	Billed Duration: 3745 ms	Memory Size: 128 MB	Max Memory Used: 126 MB	
"
1618349551960,"START RequestId: 67987f1d-160b-4287-8681-25557bab37b5 Version: $LATEST
"
1618349555768,"END RequestId: 67987f1d-160b-4287-8681-25557bab37b5
"
1618349555768,"REPORT RequestId: 67987f1d-160b-4287-8681-25557bab37b5	Duration: 3791.22 ms	Billed Duration: 3792 ms	Memory Size: 128 MB	Max Memory Used: 126 MB	
"
1618349582512,"START RequestId: 8a9e7871-3d35-4719-a94b-681a9a4008f3 Version: $LATEST
"
1618349586309,"END RequestId: 8a9e7871-3d35-4719-a94b-681a9a4008f3
"
1618349586309,"REPORT RequestId: 8a9e7871-3d35-4719-a94b-681a9a4008f3	Duration: 3780.40 ms	Billed Duration: 3781 ms	Memory Size: 128 MB	Max Memory Used: 126 MB	
"
