timestamp,message
1618349509378,"START RequestId: 0e7dbc43-9cd0-4a49-87e1-1c4a007d673d Version: $LATEST
"
1618349515078,"END RequestId: 0e7dbc43-9cd0-4a49-87e1-1c4a007d673d
"
1618349515078,"REPORT RequestId: 0e7dbc43-9cd0-4a49-87e1-1c4a007d673d	Duration: 5667.29 ms	Billed Duration: 5668 ms	Memory Size: 128 MB	Max Memory Used: 128 MB	
"
1618349529660,"START RequestId: ef1c0aec-1250-4aa5-aa6f-b00c25e5c0c5 Version: $LATEST
"
1618349534837,"END RequestId: ef1c0aec-1250-4aa5-aa6f-b00c25e5c0c5
"
1618349534837,"REPORT RequestId: ef1c0aec-1250-4aa5-aa6f-b00c25e5c0c5	Duration: 5115.67 ms	Billed Duration: 5116 ms	Memory Size: 128 MB	Max Memory Used: 128 MB	
"
1618349543389,"START RequestId: 9974c61d-1966-41cf-aa1f-6a4da7b3bbe6 Version: $LATEST
"
1618349548658,"END RequestId: 9974c61d-1966-41cf-aa1f-6a4da7b3bbe6
"
1618349548658,"REPORT RequestId: 9974c61d-1966-41cf-aa1f-6a4da7b3bbe6	Duration: 5243.33 ms	Billed Duration: 5244 ms	Memory Size: 128 MB	Max Memory Used: 128 MB	
"
1618349556317,"START RequestId: 553c84fc-379a-4f90-8c51-92a27d5c343e Version: $LATEST
"
1618349561582,"END RequestId: 553c84fc-379a-4f90-8c51-92a27d5c343e
"
1618349561582,"REPORT RequestId: 553c84fc-379a-4f90-8c51-92a27d5c343e	Duration: 5236.66 ms	Billed Duration: 5237 ms	Memory Size: 128 MB	Max Memory Used: 128 MB	
"
1618349586869,"START RequestId: 8ac580c2-9e38-44ae-8467-583de11e39f3 Version: $LATEST
"
1618349592298,"END RequestId: 8ac580c2-9e38-44ae-8467-583de11e39f3
"
1618349592298,"REPORT RequestId: 8ac580c2-9e38-44ae-8467-583de11e39f3	Duration: 5387.56 ms	Billed Duration: 5388 ms	Memory Size: 128 MB	Max Memory Used: 128 MB	
"
