timestamp,message
1618349404986,"START RequestId: aa1bb1bc-427b-4d9d-b0f1-d94a568ef508 Version: $LATEST
"
1618349409874,"END RequestId: aa1bb1bc-427b-4d9d-b0f1-d94a568ef508
"
1618349409874,"REPORT RequestId: aa1bb1bc-427b-4d9d-b0f1-d94a568ef508	Duration: 4862.34 ms	Billed Duration: 4863 ms	Memory Size: 128 MB	Max Memory Used: 126 MB	
"
1618349422648,"START RequestId: ff0cfa3a-a82b-4fed-88dd-8739f82c6a05 Version: $LATEST
"
1618349427270,"END RequestId: ff0cfa3a-a82b-4fed-88dd-8739f82c6a05
"
1618349427270,"REPORT RequestId: ff0cfa3a-a82b-4fed-88dd-8739f82c6a05	Duration: 4578.94 ms	Billed Duration: 4579 ms	Memory Size: 128 MB	Max Memory Used: 127 MB	
"
1618349437291,"START RequestId: 72f5d370-767a-49ba-8ec1-c662fc99f904 Version: $LATEST
"
1618349442131,"END RequestId: 72f5d370-767a-49ba-8ec1-c662fc99f904
"
1618349442131,"REPORT RequestId: 72f5d370-767a-49ba-8ec1-c662fc99f904	Duration: 4796.65 ms	Billed Duration: 4797 ms	Memory Size: 128 MB	Max Memory Used: 127 MB	
"
1618349448148,"START RequestId: ba43a026-5cd5-4f0e-9586-8b6c91529246 Version: $LATEST
"
1618349452771,"END RequestId: ba43a026-5cd5-4f0e-9586-8b6c91529246
"
1618349452771,"REPORT RequestId: ba43a026-5cd5-4f0e-9586-8b6c91529246	Duration: 4597.89 ms	Billed Duration: 4598 ms	Memory Size: 128 MB	Max Memory Used: 127 MB	
"
1618349459232,"START RequestId: 43f6619f-c5bf-40d9-bb38-eeeb9b2e127f Version: $LATEST
"
1618349464031,"END RequestId: 43f6619f-c5bf-40d9-bb38-eeeb9b2e127f
"
1618349464031,"REPORT RequestId: 43f6619f-c5bf-40d9-bb38-eeeb9b2e127f	Duration: 4758.22 ms	Billed Duration: 4759 ms	Memory Size: 128 MB	Max Memory Used: 127 MB	
"
