timestamp,message
1618346933508,"START RequestId: 5ad3b125-677a-4b10-bca0-99765380e287 Version: $LATEST
"
1618346934884,"END RequestId: 5ad3b125-677a-4b10-bca0-99765380e287
"
1618346934884,"REPORT RequestId: 5ad3b125-677a-4b10-bca0-99765380e287	Duration: 1375.76 ms	Billed Duration: 1376 ms	Memory Size: 128 MB	Max Memory Used: 78 MB	Init Duration: 361.80 ms	
"
1618346936442,"START RequestId: 3660cfca-7df4-4b3c-b005-a4137fbf78c2 Version: $LATEST
"
1618346937118,"END RequestId: 3660cfca-7df4-4b3c-b005-a4137fbf78c2
"
1618346937118,"REPORT RequestId: 3660cfca-7df4-4b3c-b005-a4137fbf78c2	Duration: 672.36 ms	Billed Duration: 673 ms	Memory Size: 128 MB	Max Memory Used: 78 MB	
"
1618346938706,"START RequestId: 221e33bc-db68-452c-b856-fc7dd1a8c437 Version: $LATEST
"
1618346939399,"END RequestId: 221e33bc-db68-452c-b856-fc7dd1a8c437
"
1618346939399,"REPORT RequestId: 221e33bc-db68-452c-b856-fc7dd1a8c437	Duration: 684.19 ms	Billed Duration: 685 ms	Memory Size: 128 MB	Max Memory Used: 78 MB	
"
1618346941298,"START RequestId: 5c645343-2f20-4a72-9e8e-22435faa3f8e Version: $LATEST
"
1618346941953,"END RequestId: 5c645343-2f20-4a72-9e8e-22435faa3f8e
"
1618346941954,"REPORT RequestId: 5c645343-2f20-4a72-9e8e-22435faa3f8e	Duration: 652.73 ms	Billed Duration: 653 ms	Memory Size: 128 MB	Max Memory Used: 78 MB	
"
1618346943487,"START RequestId: 6f35ebc7-733d-4ce0-af68-cbaa2aed84f3 Version: $LATEST
"
1618346944185,"END RequestId: 6f35ebc7-733d-4ce0-af68-cbaa2aed84f3
"
1618346944185,"REPORT RequestId: 6f35ebc7-733d-4ce0-af68-cbaa2aed84f3	Duration: 692.43 ms	Billed Duration: 693 ms	Memory Size: 128 MB	Max Memory Used: 79 MB	
"
1618346945868,"START RequestId: faf955ba-cdd9-4923-8969-c9880ad06f1f Version: $LATEST
"
1618346946555,"END RequestId: faf955ba-cdd9-4923-8969-c9880ad06f1f
"
1618346946555,"REPORT RequestId: faf955ba-cdd9-4923-8969-c9880ad06f1f	Duration: 683.25 ms	Billed Duration: 684 ms	Memory Size: 128 MB	Max Memory Used: 80 MB	
"
1618346948126,"START RequestId: 7a731540-b7f6-4ac2-ad65-6c38436e48d9 Version: $LATEST
"
1618346948816,"END RequestId: 7a731540-b7f6-4ac2-ad65-6c38436e48d9
"
